user_id,trimmed_tweet,original_tweet
703277869368283136,#PhilipBrailsford is a whole pussy People really get behind a badge and forget you are a human A badge doesn't absolv,RT @TheRightOne126: #PhilipBrailsford is a whole pussy. People really get behind a badge and forget you are a human. A badge doesn't absolv…
703277869368283136,Murderer #justicefordanielshaver #PhilipBrailsford keep it going,RT @PlatenburgA: Murderer. #justicefordanielshaver #PhilipBrailsford keep it going. https://t.co/mcksXFeLkh
703277869368283136,The Brutal Execution of #DanielShaver by pig #PhilipBrailsford I've seen #Isis but this is one of the worst exec,"RT @SwaggBundlez: The Brutal Execution of #DanielShaver by pig #PhilipBrailsford @MesaPD 
I've seen #Isis but this is one of the worst exec…"
703277869368283136,#PhilipBrailsford shot a crying nervous man Id be scared too and be dead #DanielShaver,"RT @xCarlosEMendez: #PhilipBrailsford shot a crying nervous man. I’d be scared too, and be dead.  #DanielShaver

 https://t.co/1n6M2NGiS3"
703277869368283136,Every vid I've seen once a suspect is shot the cops secure them for the suspected weapon #PhilipBrailsford rushed past #,"RT @brianparra: Every vid I've seen, once a suspect is shot, the cops secure them for the suspected weapon. #PhilipBrailsford rushed past #…"
703277869368283136,Officer #PhilipBrailsford IS A MURDERER,RT @EstebanEscamill: Officer #PhilipBrailsford IS A MURDERER. https://t.co/bm2s7LDwaI
4288849517,Philip Brailsford #PhilipBrailsford,Philip Brailsford #PhilipBrailsford https://t.co/3P9oARwxzt
19015287,DamnI tell yawhat I'd LOVE to see happen to this #philipbrailsford cant say it on here of cour,"RT @elimin8misandry: @InsanityIsFree Damn,I tell ya,what I'd LOVE to see happen to this #philipbrailsford 🐖💩....cant say it on here of cour…"
591936491,#DanielShaver did nothing to deserve being executed by Mesa Police Officer #PhilipBrailsford Mr Shaver was a loving husba,RT @fatkidcool: #DanielShaver did nothing to deserve being executed by Mesa Police Officer #PhilipBrailsford. Mr. Shaver was a loving husba…
940730124605050880,#PhilipBrailsford shoots unarmed #DanielShaver while on his knees begging for life telling him the whole time he is g,"RT @dan4presidente: #PhilipBrailsford shoots unarmed #DanielShaver while on his knees, begging for life, telling him the whole time he is g…"
581145954,Murderer #justicefordanielshaver #PhilipBrailsford keep it going,RT @PlatenburgA: Murderer. #justicefordanielshaver #PhilipBrailsford keep it going. https://t.co/mcksXFeLkh
581145954,The Brutal Execution of #DanielShaver by pig #PhilipBrailsford I've seen #Isis but this is one of the worst exec,"RT @SwaggBundlez: The Brutal Execution of #DanielShaver by pig #PhilipBrailsford @MesaPD 
I've seen #Isis but this is one of the worst exec…"
581145954,Officer #PhilipBrailsford IS A MURDERER,RT @EstebanEscamill: Officer #PhilipBrailsford IS A MURDERER. https://t.co/bm2s7LDwaI
4075912820,#PhilipBrailsford had previous excessive use of force complaints Had Mesa PD taken them seriously and given him better,RT @DanielShaver_: #PhilipBrailsford had previous excessive use of force complaints. Had Mesa PD taken them seriously and given him better…
46476819,#TodaysNRAMoment This is #RIP #DanielShaver the man murdered by #Arizona police for #compliance with their order,#TodaysNRAMoment: This is #RIP #DanielShaver - the man murdered by #Arizona police for #compliance with their order… https://t.co/W9MyKlpVC2
39664994,ICYMI #DanielShavers daughter attempted to take her life yesterday This is what happens when we let assholes l,"ICYMI, #DanielShaver’s daughter attempted to take her life yesterday. 

This is what happens when we let assholes l… https://t.co/emnAysy1VY"
2722647076,Officer #PhilipBrailsford IS A MURDERER,RT @EstebanEscamill: Officer #PhilipBrailsford IS A MURDERER. https://t.co/bm2s7LDwaI
2722647076,#DanielShaver did nothing to deserve being executed by Mesa Police Officer #PhilipBrailsford Mr Shaver was a loving husba,RT @fatkidcool: #DanielShaver did nothing to deserve being executed by Mesa Police Officer #PhilipBrailsford. Mr. Shaver was a loving husba…
459111933,It doesn't take a genius to see that #philipbrailsford is a flat out murderer An incompetent triggerhappy Barney,It doesn't take a genius to see that #philipbrailsford is a flat out murderer. An incompetent trigger-happy Barney… https://t.co/hreNZ09981
364102428,The Brutal Execution of #DanielShaver by pig #PhilipBrailsford I've seen #Isis but this is one of the worst exec,"RT @SwaggBundlez: The Brutal Execution of #DanielShaver by pig #PhilipBrailsford @MesaPD 
I've seen #Isis but this is one of the worst exec…"
908168480,#Philipbrailsford is a reminder that guns are getting placed in the wrong hands What good is a body camera if this,#Philipbrailsford is a reminder that guns are getting placed in the wrong hands. What good is a body camera if this… https://t.co/aJ6hW5lDL9
33073768,#philipbrailsford This police officer is psycho May he never rest and always look over his shoulder,#philipbrailsford This police officer is psycho.  May he never rest and always look over his shoulder.
4597593612,Never in my life have I wished death on anyone so thoroughly as I wish it on #PhilipBrailsford You are a coward,"Never in my life have I wished death on anyone so thoroughly as I wish it on #PhilipBrailsford. 

You are a coward,… https://t.co/ewXVxM1gBU"
808747620499914753,#PhilipBrailsford Attorney Michael Piccarreta TOP RATED CRIMINAL DEFENCE ATTORNEY No wonder #PhilipBrailsford was foun,"RT @JustLee_Lee: #PhilipBrailsford Attorney, Michael Piccarreta; TOP RATED CRIMINAL DEFENCE ATTORNEY. No wonder, #PhilipBrailsford was foun…"
23700259,Video Surfaces Showing Killer Coproach #PhilipBrailsford Beating Up Teens Months Before He Murdered #DanielShaver htt,RT @statismiscancer: Video Surfaces Showing Killer Coproach #PhilipBrailsford Beating Up Teens Months Before He Murdered #DanielShaver  htt…
46602940,From the widow of #DanielShaver I hope you rot in hell #PhilipBrailsford I hope you suffer far worse than the he,"RT @starbs_n_carbs: From the widow of #DanielShaver . 

I hope you rot in hell, #PhilipBrailsford . I hope you suffer far worse than the he…"
2834072829,Video Surfaces Showing Killer Coproach #PhilipBrailsford Beating Up Teens Months Before He Murdered #DanielShaver htt,RT @statismiscancer: Video Surfaces Showing Killer Coproach #PhilipBrailsford Beating Up Teens Months Before He Murdered #DanielShaver  htt…
936056576586137600,DamnI tell yawhat I'd LOVE to see happen to this #philipbrailsford cant say it on here of c,"@InsanityIsFree Damn,I tell ya,what I'd LOVE to see happen to this #philipbrailsford 🐖💩....cant say it on here of c… https://t.co/bwP04O6WMN"
3911104366,From the widow of #DanielShaver I hope you rot in hell #PhilipBrailsford I hope you suffer far worse than th,"From the widow of #DanielShaver . 

I hope you rot in hell, #PhilipBrailsford . I hope you suffer far worse than th… https://t.co/qByBCL5Xz5"
108987996,Video Surfaces Showing Killer Coproach #PhilipBrailsford Beating Up Teens Months Before He Murdered #DanielShaver,Video Surfaces Showing Killer Coproach #PhilipBrailsford Beating Up Teens Months Before He Murdered #DanielShaver… https://t.co/7stes9irjG
1312597406,#PhilipBrailsford This video is sickening This cop was on a complete power trip and seemingly intent on making t,#PhilipBrailsford. This video is sickening.  This cop was on a complete power trip and seemingly intent on making t… https://t.co/VD4sjKXBrk
562603474,The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity I have seen the video unfort,RT @ItsHeckinChris: The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity. I have seen the video (unfort…
734469580672892929,#PhilipBrailsford Attorney Michael Piccarreta TOP RATED CRIMINAL DEFENCE ATTORNEY No wonder #PhilipBrailsford was foun,"RT @JustLee_Lee: #PhilipBrailsford Attorney, Michael Piccarreta; TOP RATED CRIMINAL DEFENCE ATTORNEY. No wonder, #PhilipBrailsford was foun…"
